"Localitate","Judet"
"Sebesel","Alba"
"Sebisesti","Alba"
"SECASEL","Alba"
"Segaj","Alba"
"Seusa","Alba"
"Sfarcea","Alba"
"Sfoartea","Alba"
"Sibot","Alba"
"Sicoiesti","Alba"
"Silea","Alba"
"Silivas","Alba"
"Simocesti","Alba"
"Simulesti","Alba"
"Snide","Alba"
"Soal","Alba"
"Soharu","Alba"
"Sohodol","Alba"
"Sohodol (Albac)","Alba"
"Soicesti","Alba"
"Soimus","Alba"
"Sona","Alba"
"Sorlita","Alba"
"Spalnaca","Alba"
"Spatac","Alba"
"Spring","Alba"
"Stalnisoara","Alba"
"Stana de Mures","Alba"
"Stanesti","Alba"
"Stauini","Alba"
"Stefanca","Alba"
"Stei-Arieseni","Alba"
"Stertesti","Alba"
"Stiuleti","Alba"
"Straja","Alba"
"Stremt","Alba"
"Strungari","Alba"
"Sturu","Alba"
"Sub Piatra","Alba"
"Sucesti","Alba"
"SUGAG","Alba"
"Surdesti","Alba"
"Suseni","Alba"
"Tamboresti","Alba"
"Taranesti","Alba"
"Tarina","Alba"
"Tarsa","Alba"
"Tarsa-Plai","Alba"
"Tartaria","Alba"
"Tatarlaua","Alba"
"Tau","Alba"
"Tau Bistra","Alba"
"Tauni","Alba"
"Tauti","Alba"
"Tecsesti","Alba"
"Teiu","Alba"
"Teius","Alba"
"Teleac","Alba"
"Telna","Alba"
"Tibru","Alba"
"Tifra","Alba"
"Tiur","Alba"
"Toci","Alba"
"Tolacesti","Alba"
"Tomesti","Alba"
"Tomnatec","Alba"
"Tomusesti","Alba"
"Tomutesti","Alba"
"Tonea","Alba"
"Totesti","Alba"
"Totoi","Alba"
"Trampoiele","Alba"
"Trancesti","Alba"
"Trifesti (Horea)","Alba"
"Trifesti (Lupsa)","Alba"
"Trisoresti","Alba"
"Turdas","Alba"
"Uioara de Jos","Alba"
"Uioara de Sus","Alba"
"Ungurei","Alba"
"Unirea","Alba"
"Urdes","Alba"
"Vadu Motilor","Alba"
"Vai","Alba"
"Valcaneasa","Alba"
"Valcea","Alba"
"Valcesti","Alba"
"Vale in Jos","Alba"
"Valea Abruzel","Alba"
"Valea Alba","Alba"
"Valea Barlutesti","Alba"
"Valea Barnii","Alba"
"valea bistrii","Alba"
"Valea Bucurului","Alba"
"Valea Caselor","Alba"
"Valea Cerbului","Alba"
"Valea Ciuciului","Alba"
"Valea Cocesti","Alba"
"Valea Fagetului","Alba"
"Valea Giogesti","Alba"
"Valea Goblii","Alba"
"Valea Holhorii","Alba"
"Valea Inzelului","Alba"
"Valea Larga","Alba"
"Valea lui Mihai","Alba"
"Valea Lunga","Alba"
"Valea Lupsii","Alba"
"Valea Maciului","Alba"
"Valea Manastirii","Alba"
"Valea Mare","Alba"
"Valea Mica","Alba"
"Valea Mlacii","Alba"
"Valea Morii","Alba"
"Valea Negrilesii","Alba"
"Valea Poienii (Bucium)","Alba"
"Valea Poienii (Ramet)","Alba"
"Valea Sasului","Alba"
"Valea sesii (Bucium)","Alba"
"Valea sesii (Lupsa)","Alba"
"Valea Tupilor","Alba"
"Valea Utului","Alba"
"Valea Uzei","Alba"
"Valea Verde","Alba"
"Valea Vintului","Alba"
"Valeni (Bucium)","Alba"
"Valeni (Metes)","Alba"
"Valisoara","Alba"
"Valtori (Vadu Motilor)","Alba"
"Valtori (Zlatna)","Alba"
"Vama Seaca","Alba"
"Vanvucesti","Alba"
"Varsi","Alba"
"Varsii Mari","Alba"
"Varsii Mici","Alba"
"Varsi-Rontu","Alba"
"Vartanesti","Alba"
"Vartop","Alba"
"Vasesti","Alba"
"Verdesti","Alba"
"Veseus","Alba"
"Veza","Alba"
"Vidolm","Alba"
"Vidra","Alba"
"Vidrisoara","Alba"
"Viezuri","Alba"
"Vinerea","Alba"
"Vingard","Alba"
"Vinta","Alba"
"Vintu de Jos","Alba"
"Vladesti","Alba"
"Vladosesti","Alba"
"Vulcan (Ciuruleasa)","Alba"
"Vurpar","Alba"
"Zagris","Alba"
"Zanzesti","Alba"
"Zaries","Alba"
"Zlatna","Alba"
"Aciuta","Arad"
"Adea","Arad"
"Agrisu Mare","Arad"
"Agrisu Mic","Arad"
"Aldesti","Arad"
"Almas","Arad"
"Alunis","Arad"
"Andrei Saguna","Arad"
"Apateu","Arad"
"Arad","Arad"
"Araneag","Arad"
"Archis","Arad"
"Avram Iancu (Cermei)","Arad"
"Avram Iancu (Varfurile)","Arad"
"Bacau de Mijloc","Arad"
"Baia","Arad"
"Banesti","Arad"
"Baratca","Arad"
"Barsa","Arad"
"Barzava","Arad"
"Barzesti","Arad"
"Bata","Arad"
"Batuta","Arad"
"Beliu","Arad"
"Belotint","Arad"
"Benesti","Arad"
"Berechiu","Arad"
"Berindia","Arad"
"Birchis","Arad"
"Bochia","Arad"
"Bocsig","Arad"
"Bodesti ","Arad"
"Bodrogu Nou","Arad"
"Bodrogu Vechi","Arad"
"Bontesti","Arad"
"Botfei","Arad"
"Brazii","Arad"
"Brusturi","Arad"
"Bruznic","Arad"
"Buceava-soimus","Arad"
"Budesti","Arad"
"Buhani","Arad"
"Bulci","Arad"
"Buteni","Arad"
"Calugareni","Arad"
"Camna","Arad"
"Capalnas","Arad"
"Caporal Alexa","Arad"
"Caprioara","Arad"
"Capruta","Arad"
"Carand","Arad"
"Cermei","Arad"
"Chelmac","Arad"
"Cherelus","Arad"
"Chesint","Arad"
"Chier","Arad"
"Chisindia","Arad"
"Chisineu-Cris","Arad"
"Chislaca","Arad"
"Cicir","Arad"
"Cil","Arad"
"Cintei","Arad"
"Ciuntesti","Arad"
"Cladova","Arad"
"Clit","Arad"
"Cociuba","Arad"
"Comanesti","Arad"
"Conop","Arad"
"Corbesti","Arad"
"Coroi","Arad"
"Covasint","Arad"
"Craiva","Arad"
"Cristesti","Arad"
"Crocna","Arad"
"Cruceni","Arad"
"Cuias","Arad"
"Cuied","Arad"
"Curtici","Arad"
"Cuvesdia","Arad"
"Cuvin","Arad"
"Dezna","Arad"
"Dieci","Arad"
"Donceni","Arad"
"Dorgos","Arad"
"Dorobanti","Arad"
"Draut","Arad"
"Dud","Arad"
"Dulcele","Arad"
"Dumbrava","Arad"
"Dumbravita","Arad"
"Fantanele","Arad"
"Felnac","Arad"
"Fenis","Arad"
"Firiteaz","Arad"
"Fiscut","Arad"
"Frumuseni","Arad"
"Galsa","Arad"
"Ghioroc","Arad"
"Graniceri","Arad"
"Groseni","Arad"
"Grosi","Arad"
"Grosii Noi","Arad"
"Gura Vaii","Arad"
"Gurahont","Arad"
"Gurba","Arad"
"Halalis","Arad"
"Halmagel","Arad"
"Halmagiu","Arad"
"Hasmas","Arad"
"Hodis","Arad"
"Hontisor","Arad"
"Horia","Arad"
"HUB intl Arad","Arad"
"Hunedoara Timisana","Arad"
"Iacobini","Arad"
"Iercoseni","Arad"
"Iermata","Arad"
"Iermata Neagra","Arad"
"Ignesti","Arad"
"Ilteu","Arad"
"Ineu","Arad"
"Ionesti","Arad"
"Iosas","Arad"
"Iratosu","Arad"
"Joia Mare","Arad"
"Julita","Arad"
"Labasint","Arad"
"Lalasint","Arad"
"Laz","Arad"
"Lazuri","Arad"
"Leasa","Arad"
"Lestioara","Arad"
"Lipova","Arad"
"Livada","Arad"
"Luguzau","Arad"
"Luncsoara","Arad"
"Lupesti","Arad"
"Macea","Arad"
"Maderat","Arad"
"Madrigesti","Arad"
"Magulicea","Arad"
"Mailat","Arad"
"Manastur","Arad"
"Mandruloc","Arad"
"Manerau","Arad"
"Maraus","Arad"
"Masca","Arad"
"Mermesti","Arad"
"Milova","Arad"
"Minead","Arad"
"Minis","Arad"
"Minisel","Arad"
"Minisu de Sus","Arad"
"Misca","Arad"
"Mocrea","Arad"
"Moneasa","Arad"
"Monorostia","Arad"
"Moroda","Arad"
"Motiori","Arad"
"Munar","Arad"
"Mustesti","Arad"
"Nadab","Arad"
"Nadalbesti","Arad"
"Nadas","Arad"
"Nadlac","Arad"
"Neagra","Arad"
"Nermis","Arad"
"Neudorf","Arad"
"Nicolae Balcescu","Arad"
"Obarsia","Arad"
"Odvos","Arad"
"Olari","Arad"
"Ostrov","Arad"
"Paiuseni","Arad"
"Pancota","Arad"
"Parnesti","Arad"
"Patars","Arad"
"Paulian","Arad"
"Paulis","Arad"
"Pecica","Arad"
"Peregu Mare","Arad"
"Peregu Mic","Arad"
"Pescari","Arad"
"Petris","Arad"
"Pilu","Arad"
"Plescuta","Arad"
"Poiana","Arad"
"Poienari","Arad"
"Prunisor","Arad"
"Radesti","Arad"
"Radna","Arad"
"Ranusa","Arad"
"Rapsig","Arad"
"Revetis","Arad"
"Rogoz de Beliu","Arad"
"Rosia","Arad"
"Rosia Noua","Arad"
"Rostoci","Arad"
"Sagu","Arad"
"Salajeni","Arad"
"Sambateni","Arad"
"Sanleani","Arad"
"Sanmartin","Arad"
"Sanpaul","Arad"
"Sanpetru German","Arad"
"Santana","Arad"
"Sarbi","Arad"
"Satu Mare","Arad"
"Satu Mic","Arad"
"Satu Nou","Arad"
"Savarsin","Arad"
"Sebis","Arad"
"Secaci","Arad"
"Secas","Arad"
"Secusigiu","Arad"
"Sederhat","Arad"
"Seitin","Arad"
"Seleus","Arad"
"Seliste","Arad"
"Selistea","Arad"
"Semlac","Arad"
"Sepreus","Arad"
"Siad","Arad"
"Siclau","Arad"
"Sicula","Arad"
"Silindia","Arad"
"Simand","Arad"
"Sintea Mare","Arad"
"Sintea Mica","Arad"
"Siria","Arad"
"Sistarovat","Arad"
"Slatina de Cris","Arad"
"Slatina de Mures","Arad"
"Socodor","Arad"
"Sofronea","Arad"
"Soimos","Arad"
"Somosches","Arad"
"Stejar","Arad"
"Stoinesti","Arad"
"Susag","Arad"
"Susani","Arad"
"Tagadau","Arad"
"Talagiu","Arad"
"Talmaci","Arad"
"Tarmure","Arad"
"Tarnavita","Arad"
"Tarnova","Arad"
"Taut","Arad"
"Tela","Arad"
"Temesesti","Arad"
"Tipar","Arad"
"Tisa","Arad"
"Tisa Noua","Arad"
"Toc","Arad"
"Tohesti","Arad"
"Troas","Arad"
"Turnu","Arad"
"Urvisu de Beliu","Arad"
"Ususau","Arad"
"Valea Mare (Gurahont)","Arad"
"Valea Mare (Savarsin)","Arad"
"Vanatori","Arad"
"Varadia de Mures","Arad"
"Varfurile","Arad"
"Variasu Mare","Arad"
"Variasu Mic","Arad"
"Varnita","Arad"
"Varsand","Arad"
"Vasile Goldis","Arad"
"Vasoaia","Arad"
"Vidra","Arad"
"Vinga","Arad"
"Virismort","Arad"
"Vladimirescu","Arad"
"Voivodeni","Arad"
"Zabalt","Arad"
"Zabrani","Arad"
"Zadareni","Arad"
"Zarand","Arad"
"Zerind","Arad"
"Zerindu Mic","Arad"
"Zimandcuz","Arad"
"Zimandu Nou","Arad"
"Zimbru","Arad"
"ADUNATI","Arges"
"Afrimesti","Arges"
"Albesti","Arges"
"Albestii de Arges","Arges"
"Albestii de Muscel","Arges"
"Albestii Pamanteni","Arges"
"Albestii Ungureni","Arges"
"Albota","Arges"
"Albotele","Arges"
"Alunis","Arges"
"Alunisu (Baiculesti)","Arges"
"Alunisu (Bradulet)","Arges"
"Anghinesti","Arges"
"Aninoasa","Arges"
"Arefu","Arges"
"Argesani","Arges"
"Argeselu","Arges"
"Babana","Arges"
"Babaroaga","Arges"
"Bacesti","Arges"
"Badeni","Arges"
"Badesti (Barla)","Arges"
"Badesti (Pietrosani)","Arges"
"Badicea","Arges"
"Badila","Arges"
"Badislava","Arges"
"Badulesti","Arges"
"Baiculesti","Arges"
"Baila","Arges"
"Bajanesti","Arges"
"Bajesti","Arges"
"Balabani","Arges"
"Balilesti","Arges"
"Balilesti (Tigveni)","Arges"
"Baloteasca","Arges"
"Baltata","Arges"
"Balteni","Arges"
"Banaresti","Arges"
"Banicesti","Arges"
"Bantau","Arges"
"Baranesti","Arges"
"Barasti","Arges"
"Barbalani","Arges"
"Barbalatesti","Arges"
"Barbatesti","Arges"
"Barla","Arges"
"Barlogu","Arges"
"Barloi","Arges"
"Barsestii de Jos","Arges"
"Barsestii de Sus","Arges"
"Barzesti","Arges"
"Bascov","Arges"
"Bascovele","Arges"
"Batrani","Arges"
"Beculesti","Arges"
"Beleti","Arges"
"Beleti-Negresti","Arges"
"Berevoesti","Arges"
"Berindesti","Arges"
"Bilcesti","Arges"
"Blaju","Arges"
"Blejani","Arges"
"Bogati","Arges"
"Bolculesti","Arges"
"Bolovanesti","Arges"
"Bordeieni","Arges"
"Borlesti","Arges"
"Borobanesti","Arges"
"Borovinesti","Arges"
"Botarcani","Arges"
"Boteni","Arges"
"Botesti","Arges"
"Brabeti","Arges"
"Bradetu","Arges"
"Bradu","Arges"
"Bradulet","Arges"
